ExNo	DsrAB	Temp	ID	Hours	SO30	SO3n	TrithioS	ThiosulfS	d34SO30	d34SO3D	d34SO3	d34oxD	d34ox	d34redD	d34red	d33SO30	d33SO3	d33ox	d33red	d36SO30	d36SO3	d36ox	d36red	suspect				
181112	14.8	20	2	3.9	11.1	10.2	0.1	0.0	-2.1	-1.6	-1.809	NA	0.082	NA	NA	-1.0480	-0.902	0.027	NA	-4.053	-3.681	-0.288	NA	FALSE				
181112	14.8	20	3	8.0	11.1	10.0	0.2	0.1	-2.1	-1.8	-1.560	NA	0.723	NA	NA	-1.0480	-0.777	0.340	NA	-4.053	-3.417	1.001	NA	FALSE				
181112	14.8	20	4	14.4	11.1	10.6	0.5	0.1	-2.1	-2.0	-1.468	NA	0.961	NA	-18.069	-1.0480	-0.711	0.475	-9.317	-4.053	-3.500	1.322	-34.509	FALSE				
181112	14.8	20	5	26.0	11.1	9.5	0.9	0.3	-2.1	-1.7	-1.551	NA	1.758	NA	-16.010	-1.0480	-0.775	0.876	-8.246	-4.053	-3.340	2.956	-30.694	FALSE				
181112	14.8	20	6	32.4	11.1	7.2	1.1	0.3	-2.1	-1.9	-1.890	NA	4.156	-14.7	-16.175	-1.0480	-0.954	2.106	-8.329	-4.053	-3.918	7.405	-31.026	FALSE				
101011	14.5	31	4	0.0	16.3	16.1	0	0	2.2	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE				
101011	14.5	31	5	0.0	16.3	16.9	0	0	2.2	0.5	3.424	NA	NA	NA	NA	1.762	1.762	NA	NA	6.089	6.089	NA	NA	TRUE				
101011	14.5	31	6	12.7	16.3	7.8	5.8	1.3	2.2	-0.4	NA	9.4	10.235	-10.1	-10.812	NA	NA	5.230	-5.547	NA	NA	19.249	-20.275	FALSE				
101011	14.5	31	7	12.7	16.3	7.4	5.5	1.0	2.2	-0.1	0.436	9.3	10.368	-9.8	-9.850	1.762	0.280	5.314	-5.065	6.089	0.474	19.618	-18.763	TRUE				
101011	14.5	31	8	19.3	16.3	6.1	8.1	1.9	2.2	0.0	NA	10.7	11.373	-10.1	-10.514	NA	NA	5.859	-5.396	NA	NA	21.638	-20.111	FALSE				
101011	14.5	31	9	19.3	16.3	5.6	8.6	1.8	2.2	0.8	NA	10.9	11.674	-10.3	-10.743	NA	NA	5.928	-5.516	NA	NA	21.970	-20.602	FALSE				
101011	14.5	31	10	24.7	16.3	4.6	9.9	2.4	2.2	-0.3	2.533	11.9	13.551	-10.7	-10.837	1.762	1.339	6.974	-5.564	6.089	6.812	25.640	-20.691	TRUE				
101011	14.5	31	11	24.7	16.3	3.3	9.8	2.3	2.2	-2.5	NA	12.1	13.273	-10.3	-10.771	NA	NA	6.817	-5.528	NA	NA	25.088	-20.433	FALSE				
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
